url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://www.badscience.net/?p=531,False,False,False,,,,"HTTPSConnectionPool(host='www.badscience.net', port=443): Max retries exceeded with url: /?p=531 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))",main_url,scientific,badscience.net
http://www.scienceinreview.com/2007/science-linked-bacteria.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/science-linked-bacteria.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808AC8580>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://scienceblogs.com/grrlscientist/2007/09/running_your_blues_away.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/running_your_blues_away.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/developingintelligence/2007/09/do_neural_networks_segregate_i.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/developingintelligence/2007/09/do_neural_networks_segregate_i.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/insolence/2007/09/jenny_mccarthy_and_oprah_winfrey_two_cra.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/insolence/2007/09/jenny_mccarthy_and_oprah_winfrey_two_cra.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/quill_knobs_reveal_that_veloci.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/quill_knobs_reveal_that_veloci.php,main_url,scientific,scienceblogs.com
http://www.beckman.uiuc.edu/news/articles/feature091907.html,True,False,False,,,GenericHandler,,main_url,scientific,beckman.uiuc.edu
http://scienceblogs.com/insolence/2007/09/a_bad_day_for_antivaccinationists.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/insolence/2007/09/a_bad_day_for_antivaccinationists.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/technology/destroy_earth_mp.html?repost_for_fun,False,False,False,,,,404 Client Error: Not Found for url: https://www.livescience.com/references/technology,main_url,scientific,livescience.com
http://scienceroll.com/2007/09/29/ibioseminars-bringing-the-best-in-biological-research-to-the-world/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/29/ibioseminars-bringing-the-best-in-biological-research-to-the-world/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808DDF310>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://technology.newscientist.com/article.ns?id=dn12576&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12576&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808DDF550>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://www.reuters.com/article/newsOne/idUSN3126542220070902,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/newsOne/idUSN3126542220070902,main_url,news,reuters.com
http://environment.newscientist.com/article/dn12597-antarctic-pod-makes-way-for-green-research.html,False,False,False,,,,"HTTPConnectionPool(host='environment.newscientist.com', port=80): Max retries exceeded with url: /article/dn12597-antarctic-pod-makes-way-for-green-research.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808DDF280>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,environment.newscientist.com
http://space.newscientist.com/article.ns?id=dn12604&amp;feedId=space_rss20,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12604&amp;feedId=space_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808DDF790>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://www.washingtonpost.com/wp-dyn/content/article/2007/09/08/AR2007090800997_pf.html,False,False,False,,,,"HTTPConnectionPool(host='www.washingtonpost.com', port=80): Read timed out. (read timeout=30)",main_url,news,washingtonpost.com
http://news.bbc.co.uk/2/hi/science/nature/6983176.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://news.bbc.co.uk/2/hi/science/nature/6983176.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://news.bbc.co.uk/2/hi/science/nature/6983176.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://www.nytimes.com/2007/09/11/science/11eel.html?ex=1347163200&amp;en=df0e06592f03c0e2&amp;ei=5090&amp;partner=rssuserland&amp;emc=rss,True,False,True,,Scientists have discovered a fish that  imitates the extraterrestrial beast of the “Alien” series: it possesses a second set of jaws. ,GenericHandler,,main_url,news,nytimes.com
"http://www.latimes.com/news/nationworld/nation/la-sci-alex12sep12,1,7051719.story?coll=la-headlines-nation",True,False,True,,"The African grey knew more than 100 words, breaking stereotypes about birds. He died of natural causes.",GenericHandler,,main_url,news,latimes.com
http://news.independent.co.uk/sci_tech/article2956409.ece,False,False,False,,,,404 Client Error: Not Found for url: https://www.independent.co.uk//sci_tech/article2956409.ece,main_url,news,news.independent.co.uk
http://news.yahoo.com/s/nm/20070915/bs_nm/arctic_passage_dc,True,False,True,,The latest news and headlines from Yahoo News. Get breaking news stories and in-depth coverage with videos and photos.,GenericHandler,,main_url,news,news.yahoo.com
http://technology.newscientist.com/article.ns?id=mg19526216.000&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=mg19526216.000&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808BF70D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://space.newscientist.com/article.ns?id=dn12665,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12665 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808BF7010>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://space.newscientist.com/article/dn12669-lava-may-have-buried-signs-of-mars-water.html,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article/dn12669-lava-may-have-buried-signs-of-mars-water.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808BF6F50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://www.reuters.com/article/scienceNews/idUSN2136996920070921?sp=true,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/scienceNews/idUSN2136996920070921?sp=true,main_url,news,reuters.com
http://news.nationalgeographic.com/news/2007/09/070921-meteor-peru.html,True,False,True,,"Explore National Geographic. A world leader in geography, cartography and exploration.",GenericHandler,,main_url,news,news.nationalgeographic.com
http://www.unknownnews.org/070924a-DrRuhs.html,True,False,False,,,GenericHandler,,main_url,news,unknownnews.org
http://space.newscientist.com/article/dn12693-earths-water-brewed-at-home-not-in-space.html,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article/dn12693-earths-water-brewed-at-home-not-in-space.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028809080C10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://www.news-medical.net/?id=19237,True,False,True,,"A common parasite found in cats may be affecting human behavior on a mass scale, according to a scientist based at the University of California, Santa Barbara.",GenericHandler,,main_url,news,news-medical.net
http://today.reuters.com/news/articlenews.aspx?type=scienceNews&amp;storyid=2007-09-27T212009Z_01_N27418001_RTRUKOC_0_US-SPACE-BURST.xml,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/news/articlenews.aspx?type=scienceNews&amp;storyid=2007-09-27T212009Z_01_N27418001_RTRUKOC_0_US-SPACE-BURST.xml,main_url,news,today.reuters.com
http://www.nytimes.com/2007/09/26/business/26leonhardt.html?_r=1&amp;oref=slogin,True,False,True,,Two new research papers offer evidence that there is  a growing happiness gap between men and women.,GenericHandler,,main_url,news,nytimes.com
